Area,Sex,Province,Area_Type,Year,Source,Total_Pop,Total_5to25,Higher_Ed_Rate,No_Edu_Rate,SLC_Completion_Rate,Dropout_Proxy_Rate,Currently_Attending_Rate,Never_Attended,CurrAtt_Primary,CurrAtt_LowerSec,CurrAtt_UpperSec,NotAtt_Primary,NotAtt_LowerSec,NotAtt_UpperSec,Education_Level,Attainment_Population,Education_Level_Order
Bagmati,Total,Bagmati,Province,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),4674293,1481092,13.08,1.93,11.66,3.34,65.71,49487,507674,304956,160570,97300,117904,85966,Graduate,402906,7
Bagmati,Total,Bagmati,Province,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),4674293,1481092,13.08,1.93,11.66,3.34,65.71,49487,507674,304956,160570,97300,117904,85966,Post_Graduate,208661,8
Bagmati,Total,Bagmati,Province,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),4674293,1481092,13.08,1.93,11.66,3.34,65.71,49487,507674,304956,160570,97300,117904,85966,No_Level,90003,9
Bhaktapur,Female,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),162982,39634,16.11,2.39,12.5,2.49,69.46,988,14522,8523,4484,1737,2233,2185,Early_Childhood,4868,1
Bhaktapur,Female,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),162982,39634,16.11,2.39,12.5,2.49,69.46,988,14522,8523,4484,1737,2233,2185,Primary,31984,2
Bhaktapur,Female,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),162982,39634,16.11,2.39,12.5,2.49,69.46,988,14522,8523,4484,1737,2233,2185,Lower_Secondary,22091,3
Bhaktapur,Female,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),162982,39634,16.11,2.39,12.5,2.49,69.46,988,14522,8523,4484,1737,2233,2185,Upper_Secondary,18368,4
Bhaktapur,Female,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),162982,39634,16.11,2.39,12.5,2.49,69.46,988,14522,8523,4484,1737,2233,2185,SLC_SEE,20370,5
Bhaktapur,Female,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),162982,39634,16.11,2.39,12.5,2.49,69.46,988,14522,8523,4484,1737,2233,2185,Intermediate,33936,6
Bhaktapur,Female,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),162982,39634,16.11,2.39,12.5,2.49,69.46,988,14522,8523,4484,1737,2233,2185,Graduate,18352,7
